player,rating,time_control
Diegoho,1971,blitz
burcanf,1991,blitz
pcm83,2049,blitz
mhamedgamal,2014,blitz
dcco,1837,blitz
Dericor,1782,blitz
chessmanjoe,1012,blitz
Jlmoreira77,935,blitz
Greuzoo,1202,blitz
yousefreda9809,1182,blitz
AndrewSopchak,1567,blitz
Demjin_07,1570,blitz
zerdest775,1255,blitz
Valerijs77,1262,blitz
Gangweed28,1036,blitz
twhan,1036,blitz
Markica,1861,blitz
pabal,1871,blitz
Alfoli_mx,1279,blitz
alfredofloresaguilar,1413,blitz
LEOALBERTINI,922,blitz
Filip29,934,blitz
chessmoreno,2109,blitz
Sloper73,2055,blitz
Carlos126,2013,blitz
ktulu100,2017,blitz
aguilanegra,2139,blitz
Hoh123,2147,blitz
IceLexa,1971,blitz
Valeri98,1987,blitz
hosein1251,1955,blitz
TheReplicant,1833,blitz
addicted2golf,1783,blitz
CanSvs,1792,blitz
nonoybuenaventura,1603,blitz
aeco03,1622,blitz
mval2,1813,blitz
Patosmink,1800,blitz
nnarjiss,1654,blitz
NikoNoel6,1664,blitz
Celenien,1551,blitz
hueman10,1373,blitz
bob_morales,1401,blitz
hazary1,1275,blitz
HenryPrickett,1712,blitz
m_teymourian,1728,blitz
FDHR,2008,blitz
Diego-gl,2004,blitz
Leviathan_Seraph731,1795,blitz
lz35dv,1797,blitz
secretnuclearbunker,2256,blitz
Usechess1962,2317,blitz
gb2211,1044,blitz
Gudulov,1071,blitz
MaroHoda,798,blitz
Ahmad10_7,732,blitz
CBpoet,2119,blitz
karpid-4,2122,blitz
mrt99,929,blitz
sekoia,995,blitz
penders,1810,blitz
DrtyHrryNlsnPlsbry,1849,blitz
Arashdeep8742,1286,blitz
flatbush,1308,blitz
carloschajari,1483,blitz
Ingvarrrr,1484,blitz
GugLena,1110,blitz
carlosfreud,840,blitz
Branco56,1540,blitz
mayskydes,1528,blitz
emredelg99,1087,blitz
Deedlez,1056,blitz
FA-Luna809,2103,blitz
pocalu,2119,blitz
Titusse,1709,blitz
maia9,1585,blitz
jld0305,1961,blitz
J_FERRAN,1968,blitz
hereverotekero,1494,blitz
dmarzari,1528,blitz
GhostZilla,1775,blitz
ElRichi,1748,blitz
Mr_Sweetlove,1378,blitz
jonnyhopskins,1393,blitz
PonyBoy67,2088,blitz
JuanCarlos86,2086,blitz
thangam2000,2241,blitz
Chesskilled,2132,blitz
stefantalpa,1856,blitz
LovelyMatcha,1881,blitz
sneiper47,1704,blitz
bravevermin,1783,blitz
Rdgb03,1787,blitz
Apekinpake,1784,blitz
AugustLegion,1212,blitz
ROzbayyy,1291,blitz
Charlesmatiki4477,1998,blitz
ADN6666,1972,blitz
rivera40,1492,blitz
taiptype,1481,blitz
Obaida_92,1657,blitz
Adigo28,1694,blitz
RonQui,1837,blitz
YZAGUIRRE,1828,blitz
Kintory,2130,blitz
tomohisa,2100,blitz
jozarov,2335,blitz
Randy35,2266,blitz
bernstein-2ply,1186,blitz
LouisChess48-6K,1203,blitz
Crisguti,1981,blitz
WallasTiger,2126,blitz
emecu4901,1394,blitz
sapevogiocare,1449,blitz
ghassen4590,2050,blitz
PoseidonsHerold,2035,blitz
JJragasa,2174,blitz
tsoukoutsoukou,2120,blitz
Patoclavin10,1000,blitz
picachucharizard,1024,blitz
Viktor-1955,1101,blitz
DANBASK,1126,blitz
calculatedrisk,1905,blitz
Egor1807,1901,blitz
MarcelloPereira,1569,blitz
TVzimatazii,1588,blitz
llmbs,1480,blitz
vasil66,1482,blitz
alireza-hadise,1543,blitz
VictorRodinovich54,1528,blitz
locotecagazon,1214,blitz
another-pjohnson,1323,blitz
Entregate,2003,blitz
Ageingninja,1999,blitz
tritondays,1697,blitz
dickyb,1644,blitz
amireson,1343,blitz
nanak20,1353,blitz
