white,black,result,label,num_moves,checks,captures,avg_legal_moves,check_ratio,capture_ratio
GarboBot,Oxide9,1-0,Human vs Engine (mixed),225,10,24,24.724444444444444,0.044444444444444446,0.10666666666666667
UnRestrictedFire,profAchamizo,0-1,Human vs Engine (mixed),82,5,16,29.451219512195124,0.06097560975609756,0.1951219512195122
HowIwonStockfish,rudygoatbert,1-0,Human vs Engine (mixed),55,4,15,33.81818181818182,0.07272727272727272,0.2727272727272727
MrGeralt,jimbothigpen,1-0,Human vs Engine (mixed),91,2,24,26.208791208791208,0.02197802197802198,0.26373626373626374
Romanoz2046,fireboyelna,0-1,Human vs Engine (mixed),54,3,13,33.370370370370374,0.05555555555555555,0.24074074074074073
thifirel,MrmisterMr116,0-1,Human vs Engine (mixed),62,2,19,35.03225806451613,0.03225806451612903,0.3064516129032258
Cantika11,GameEngine,0-1,Human vs Engine (mixed),78,3,24,27.28205128205128,0.038461538461538464,0.3076923076923077
Boterotero,mithalesh2025,1-0,Human vs Engine (mixed),61,3,18,34.540983606557376,0.04918032786885246,0.29508196721311475
Fire_exe432,zaiyu,1-0,Human vs Engine (mixed),25,2,7,31.2,0.08,0.28
BerkBot,NexaStrat,1-0,Human vs Engine (mixed),81,8,24,23.62962962962963,0.09876543209876543,0.2962962962962963
Hani1963,Ben_Boter999,0-1,Human vs Engine (mixed),52,0,14,34.36538461538461,0.0,0.2692307692307692
vladusik2014,ChessEngineer97,1-0,Human vs Engine (mixed),145,14,25,30.6,0.09655172413793103,0.1724137931034483
Firezone,Edgaroso123,0-1,Human vs Engine (mixed),60,4,19,30.283333333333335,0.06666666666666667,0.31666666666666665
PZChessBot,SupraNova_V11,1/2-1/2,Human vs Engine (mixed),139,12,29,21.107913669064747,0.08633093525179857,0.20863309352517986
